w1	w2	count	gt_prob
in	the	69	0.01448971
of	the	67	0.01406972
for	the	30	0.00629987
runs	in	28	0.00587988
In	the	18	0.00377992
the	Indian	18	0.00377992
Dhoni	was	17	0.00755985
the	first	16	0.00356993
Dhoni	scored	15	0.00335993
an	average	12	0.00251995
an	Indian	11	0.00083998
average	of	11	0.00083998
in	a	11	0.00083998
and	was	10	0.00138597
at	an	10	0.00138597
the	most	10	0.00138597
the	series	10	0.00138597
to	the	10	0.00138597
Dhoni	played	9	0.00262495
became	the	9	0.00262495
by	an	9	0.00262495
squad	for	9	0.00262495
Dhoni	led	8	0.00050399
Dhoni	made	8	0.00050399
ODI	series	8	0.00050399
South	Africa	8	0.00050399
as	a	8	0.00050399
as	the	8	0.00050399
by	the	8	0.00050399
captain	of	8	0.00050399
he	was	8	0.00050399
in	his	8	0.00050399
more	than	8	0.00050399
one	of	8	0.00050399
series	in	8	0.00050399
the	ODI	8	0.00050399
the	second	8	0.00050399
Dhoni	is	7	0.00209996
He	has	7	0.00209996
for	his	7	0.00209996
he	scored	7	0.00209996
made	his	7	0.00209996
played	for	7	0.00209996
series	against	7	0.00209996
team	in	7	0.00209996
the	captain	7	0.00209996
the	highest	7	0.00209996
the	third	7	0.00209996
with	the	7	0.00209996
Cricket	World	6	0.00135690
ICC	Champions	6	0.00135690
Sri	Lanka	6	0.00135690
West	Indies	6	0.00135690
and	the	6	0.00135690
as	captain	6	0.00135690
cricket	team	6	0.00135690
record	for	6	0.00135690
the	Year:	6	0.00135690
to	victory	6	0.00135690
tour	of	6	0.00135690
was	named	6	0.00135690
where	he	6	0.00135690
CSK	to	5	0.00068249
Chennai	Super	5	0.00068249
Dhoni	became	5	0.00068249
Dhoni	has	5	0.00068249
East	Zone	5	0.00068249
He	was	5	0.00068249
India	to	5	0.00068249
Indian	Premier	5	0.00068249
Indian	captain	5	0.00068249
Super	Kings	5	0.00068249
catches	and	5	0.00068249
for	Bihar	5	0.00068249
for	a	5	0.00068249
his	first	5	0.00068249
in	ODIs	5	0.00068249
in	four	5	0.00068249
in	international	5	0.00068249
innings	at	5	0.00068249
led	India	5	0.00068249
to	win	5	0.00068249
victory	in	5	0.00068249
was	awarded	5	0.00068249
with	Dhoni	5	0.00068249
won	the	5	0.00068249
Africa	in	4	0.00050399
Cricket	Association	4	0.00050399
Dhoni	holds	4	0.00050399
ICC	Men's	4	0.00050399
India	A	4	0.00050399
India	in	4	0.00050399
India	won	4	0.00050399
Lanka	in	4	0.00050399
Mahendra	Singh	4	0.00050399
Man	of	4	0.00050399
ODI	team	4	0.00050399
Premier	League	4	0.00050399
Ranji	Trophy	4	0.00050399
World	Cup	4	0.00050399
a	wicket-keeper	4	0.00050399
against	South	4	0.00050399
and	his	4	0.00050399
and	scored	4	0.00050399
at	the	4	0.00050399
captain	and	4	0.00050399
captain	to	4	0.00050399
dismissals	in	4	0.00050399
group	stage	4	0.00050399
has	scored	4	0.00050399
he	became	4	0.00050399
him	by	4	0.00050399
in	2018.	4	0.00050399
in	ODI	4	0.00050399
in	all	4	0.00050399
in	five	4	0.00050399
international	cricket	4	0.00050399
led	CSK	4	0.00050399
led	the	4	0.00050399
limited	overs	4	0.00050399
match	against	4	0.00050399
match	of	4	0.00050399
matches	and	4	0.00050399
matches	in	4	0.00050399
named	as	4	0.00050399
of	India	4	0.00050399
score	by	4	0.00050399
season	of	4	0.00050399
the	final	4	0.00050399
the	match	4	0.00050399
was	appointed	4	0.00050399
was	picked	4	0.00050399
was	the	4	0.00050399
which	was	4	0.00050399
while	also	4	0.00050399
wicket-keeper	to	4	0.00050399
'Team	of	3	0.00036206
2014.	Dhoni	3	0.00036206
2019,	Dhoni	3	0.00036206
Army	in	3	0.00036206
As	a	3	0.00036206
Champions	League	3	0.00036206
Champions	Trophy,	3	0.00036206
Dhoni	himself	3	0.00036206
He	scored	3	0.00036206
ICC	ODI	3	0.00036206
In	2019,	3	0.00036206
India	lost	3	0.00036206
Indian	Army	3	0.00036206
Indian	Territorial	3	0.00036206
Indian	cricket	3	0.00036206
Indian	team	3	0.00036206
Indian	wicket-keeper	3	0.00036206
Indies	and	3	0.00036206
Most	stumpings	3	0.00036206
New	Zealand.	3	0.00036206
Parachute	Regiment	3	0.00036206
Regiment	of	3	0.00036206
Singh	Dhoni	3	0.00036206
Team	of	3	0.00036206
Territorial	Army	3	0.00036206
Trophy	and	3	0.00036206
World	Cup.	3	0.00036206
after	the	3	0.00036206
against	England.	3	0.00036206
against	New	3	0.00036206
against	Sri	3	0.00036206
against	West	3	0.00036206
all	the	3	0.00036206
an	honorary	3	0.00036206
and	Sri	3	0.00036206
and	a	3	0.00036206
and	in	3	0.00036206
and	led	3	0.00036206
appointed	as	3	0.00036206
as	one	3	0.00036206
becoming	the	3	0.00036206
century	in	3	0.00036206
debut	for	3	0.00036206
debut	in	3	0.00036206
decade:	2011–2020	3	0.00036206
first	match	3	0.00036206
for	most	3	0.00036206
from	the	3	0.00036206
highest	score	3	0.00036206
his	debut	3	0.00036206
his	maiden	3	0.00036206
his	son	3	0.00036206
holds	the	3	0.00036206
home	series	3	0.00036206
honorary	rank	3	0.00036206
in	2009,	3	0.00036206
in	2011.	3	0.00036206
in	December	3	0.00036206
in	November	3	0.00036206
in	ODIs.	3	0.00036206
in	Ranchi,	3	0.00036206
in	an	3	0.00036206
innings	in	3	0.00036206
is	a	3	0.00036206
is	an	3	0.00036206
it	to	3	0.00036206
its	second	3	0.00036206
matches	as	3	0.00036206
most	dismissals	3	0.00036206
most	prolific	3	0.00036206
number	of	3	0.00036206
of	Chennai	3	0.00036206
of	all	3	0.00036206
on	the	3	0.00036206
out	for	3	0.00036206
picked	for	3	0.00036206
released	on	3	0.00036206
runs	across	3	0.00036206
runs	and	3	0.00036206
runs	at	3	0.00036206
runs	from	3	0.00036206
runs	off	3	0.00036206
scored	a	3	0.00036206
scored	just	3	0.00036206
season.	Dhoni	3	0.00036206
series	that	3	0.00036206
strike	rate	3	0.00036206
stumpings	in	3	0.00036206
team	of	3	0.00036206
the	'Team	3	0.00036206
the	1999–2000	3	0.00036206
the	2007	3	0.00036206
the	2011	3	0.00036206
the	ICC	3	0.00036206
the	Man	3	0.00036206
the	Tournament'	3	0.00036206
the	company	3	0.00036206
the	decade:	3	0.00036206
the	fourth	3	0.00036206
the	group	3	0.00036206
the	home	3	0.00036206
the	only	3	0.00036206
the	series.	3	0.00036206
the	subsequent	3	0.00036206
the	team	3	0.00036206
the	title	3	0.00036206
the	tournament	3	0.00036206
the	tournament.	3	0.00036206
title	in	3	0.00036206
to	him	3	0.00036206
to	its	3	0.00036206
to	play	3	0.00036206
was	released	3	0.00036206
which	India	3	0.00036206
wicket-keeper	of	3	0.00036206
with	a	3	0.00036206
(captain	and	2	0.00023804
(captain	in	2	0.00023804
100	in	2	0.00023804
2005,	Dhoni	2	0.00023804
2006	ICC	2	0.00023804
2007,	Dhoni	2	0.00023804
2007.	Dhoni	2	0.00023804
2009,	2010,	2	0.00023804
2010	and	2	0.00023804
2010,	2011,	2	0.00023804
2011	Cricket	2	0.00023804
2011	ICC	2	0.00023804
2011	World	2	0.00023804
2011,	2018,	2	0.00023804
2011.	In	2	0.00023804
2011–2020	(captain	2	0.00023804
2013	ICC	2	0.00023804
2019,	he	2	0.00023804
2021	and	2	0.00023804
2022,	Dhoni	2	0.00023804
5	matches.	2	0.00023804
50	in	2	0.00023804
7	July	2	0.00023804
Africa	and	2	0.00023804
Asia	Cup	2	0.00023804
