w1	count	gt_prob
the	333	0.06991392
in	222	0.04660928
Dhoni	128	0.02687382
of	126	0.02645392
and	125	0.02645392
a	80	0.01679614
to	77	0.01616628
for	72	0.01511652
was	61	0.01280705
his	54	0.01133739
runs	51	0.01070754
India	43	0.00902792
Indian	41	0.00860802
by	41	0.00860802
he	40	0.01721604
In	38	0.00797817
as	38	0.00797817
an	36	0.00755826
scored	35	0.00755826
ODI	34	0.00367415
against	34	0.00367415
series	31	0.00650850
He	29	0.00608860
with	28	0.00608860
at	26	0.00545874
captain	24	0.00503884
first	24	0.00503884
ICC	23	0.01007768
team	22	0.00482889
most	20	0.00419903
on	20	0.00419903
from	19	0.00839807
cricket	18	0.00132969
matches	18	0.00132969
wicket-keeper	18	0.00132969
World	16	0.00335923
has	16	0.00335923
is	15	0.00335923
led	15	0.00335923
that	14	0.00629855
also	13	0.00048989
five	13	0.00048989
innings	13	0.00048989
match	13	0.00048989
played	13	0.00048989
which	13	0.00048989
Champions	12	0.00163762
Cricket	12	0.00163762
Most	12	0.00163762
average	12	0.00163762
became	12	0.00163762
international	12	0.00163762
made	12	0.00163762
second	12	0.00163762
three	12	0.00163762
where	12	0.00163762
Trophy	11	0.00419903
all	11	0.00419903
one	11	0.00419903
scoring	11	0.00419903
squad	11	0.00419903
test	11	0.00419903
2011	10	0.00173210
CSK	10	0.00173210
Sri	10	0.00173210
The	10	0.00173210
highest	10	0.00173210
him	10	0.00173210
named	10	0.00173210
over	10	0.00173210
South	9	0.00279936
after	9	0.00279936
final	9	0.00279936
season.	9	0.00279936
than	9	0.00279936
third	9	0.00279936
2007	8	0.00103067
Africa	8	0.00103067
Cup	8	0.00103067
dismissals	8	0.00103067
including	8	0.00103067
more	8	0.00103067
season	8	0.00103067
title	8	0.00103067
tour	8	0.00103067
victory	8	0.00103067
won	8	0.00103067
Bihar	7	0.00108681
Chennai	7	0.00108681
December	7	0.00108681
League	7	0.00108681
ODIs	7	0.00108681
Singh	7	0.00108681
Super	7	0.00108681
T20	7	0.00108681
West	7	0.00108681
debut	7	0.00108681
later	7	0.00108681
off	7	0.00108681
out	7	0.00108681
record	7	0.00108681
score	7	0.00108681
stumpings	7	0.00108681
two	7	0.00108681
2009	6	0.00083281
2019,	6	0.00083281
A	6	0.00083281
Army	6	0.00083281
Asia	6	0.00083281
East	6	0.00083281
February	6	0.00083281
Indies	6	0.00083281
Jharkhand	6	0.00083281
Lanka	6	0.00083281
Ranji	6	0.00083281
September	6	0.00083281
Year:	6	0.00083281
across	6	0.00083281
appointed	6	0.00083281
being	6	0.00083281
career	6	0.00083281
catches	6	0.00083281
century	6	0.00083281
during	6	0.00083281
four	6	0.00083281
its	6	0.00083281
just	6	0.00083281
lost	6	0.00083281
matches.	6	0.00083281
only	6	0.00083281
their	6	0.00083281
tournament	6	0.00083281
win	6	0.00083281
winning	6	0.00083281
2009,	5	0.00130315
2010	5	0.00130315
2010,	5	0.00130315
2013	5	0.00130315
2014	5	0.00130315
2018	5	0.00130315
50	5	0.00130315
Bangladesh	5	0.00130315
IPL	5	0.00130315
July	5	0.00130315
Kings	5	0.00130315
New	5	0.00130315
On	5	0.00130315
Pakistan	5	0.00130315
Premier	5	0.00130315
Trophy,	5	0.00130315
Zone	5	0.00130315
award	5	0.00130315
awarded	5	0.00130315
but	5	0.00130315
franchise	5	0.00130315
half-century	5	0.00130315
holds	5	0.00130315
it	5	0.00130315
picked	5	0.00130315
retirement	5	0.00130315
season,	5	0.00130315
stage	5	0.00130315
while	5	0.00130315
(captain	4	0.00072483
100	4	0.00072483
2006	4	0.00072483
2014.	4	0.00072483
2016	4	0.00072483
2018.	4	0.00072483
As	4	0.00072483
Association	4	0.00072483
Australia	4	0.00072483
BCCI	4	0.00072483
Cup,	4	0.00072483
Dhoni's	4	0.00072483
India's	4	0.00072483
Mahendra	4	0.00072483
Man	4	0.00072483
Men's	4	0.00072483
November	4	0.00072483
Padma	4	0.00072483
T20I	4	0.00072483
Territorial	4	0.00072483
Test	4	0.00072483
batsman	4	0.00072483
batting	4	0.00072483
before	4	0.00072483
brand	4	0.00072483
captaincy	4	0.00072483
club	4	0.00072483
cricket.	4	0.00072483
finished	4	0.00072483
group	4	0.00072483
