sent_id	n	tokens_used	add1_log10P	add1_perplexity	addK_log10P	addK_perplexity	token_type_sum
1	2	28	-83.120238	930.2077	-83.350945	948.0243	136.00
1	3	28	-83.098676	928.5597	-83.308254	944.7019	136.00
1	4	28	-83.098676	928.5597	-83.308254	944.7019	136.00
2	2	28	-82.831219	908.3596	-82.897664	913.3366	137.00
2	3	28	-83.099160	928.5967	-83.309222	944.7771	136.00
2	4	28	-83.098676	928.5597	-83.308254	944.7019	136.00
3	2	25	-74.260893	934.1911	-74.490633	954.1690	123.00
3	3	25	-74.240299	932.4208	-74.449877	950.5940	123.00
3	4	25	-74.240299	932.4208	-74.449877	950.5940	123.00
4	2	28	-83.133257	931.2041	-83.376877	950.0481	128.00
4	3	28	-83.098676	928.5597	-83.308254	944.7019	128.00
4	4	28	-83.098676	928.5597	-83.308254	944.7019	128.00
5	2	31	-91.706319	908.3816	-91.789053	913.9811	160.00
5	3	31	-91.957537	925.4909	-92.167599	940.0444	159.00
5	4	31	-91.957053	925.4577	-92.166632	939.9768	159.00
6	2	26	-77.211274	932.5334	-77.438621	951.4994	146.00
6	3	26	-77.193091	931.0329	-77.402670	948.4747	146.00
6	4	26	-77.193091	931.0329	-77.402670	948.4747	146.00
7	2	31	-91.707283	908.4467	-91.790973	914.1114	152.00
7	3	31	-91.957537	925.4909	-92.167599	940.0444	151.00
7	4	31	-91.957053	925.4577	-92.166632	939.9768	151.00
8	2	30	-88.444861	887.4870	-88.344083	880.6489	149.00
8	3	30	-89.005229	926.4905	-89.215774	941.5841	147.00
8	4	30	-89.004261	926.4216	-89.213839	941.4443	147.00
9	2	27	-80.173708	931.9586	-80.410616	950.9791	126.00
9	3	27	-80.145883	929.7497	-80.355462	946.5166	126.00
9	4	27	-80.145883	929.7497	-80.355462	946.5166	126.00
10	2	27	-80.179345	932.4067	-80.421559	951.8670	132.00
10	3	27	-80.145883	929.7497	-80.355462	946.5166	132.00
10	4	27	-80.145883	929.7497	-80.355462	946.5166	132.00
11	2	25	-74.258962	934.0250	-74.486783	953.8308	116.00
11	3	25	-74.240299	932.4208	-74.449877	950.5940	116.00
11	4	25	-74.240299	932.4208	-74.449877	950.5940	116.00
12	2	29	-86.077857	929.3985	-86.313360	946.9407	141.00
12	3	29	-86.051468	927.4532	-86.261047	943.0156	141.00
12	4	29	-86.051468	927.4532	-86.261047	943.0156	141.00
13	2	25	-74.268531	934.8485	-74.505700	955.4940	125.00
13	3	25	-74.240299	932.4208	-74.449877	950.5940	125.00
13	4	25	-74.240299	932.4208	-74.449877	950.5940	125.00
14	2	26	-77.212720	932.6528	-77.441501	951.7421	129.00
14	3	26	-77.193091	931.0329	-77.402670	948.4747	129.00
14	4	26	-77.193091	931.0329	-77.402670	948.4747	129.00
15	2	25	-73.956484	908.3628	-74.006773	912.5799	129.00
15	3	25	-73.939752	906.9641	-73.973723	909.8063	129.00
15	4	25	-73.939752	906.9641	-73.973723	909.8063	129.00
16	2	29	-85.786384	908.1366	-85.855107	913.1054	144.00
16	3	29	-86.051952	927.4888	-86.262014	943.0880	143.00
16	4	29	-86.051468	927.4532	-86.261047	943.0156	143.00
17	2	27	-80.173224	931.9201	-80.409648	950.9006	124.00
17	3	27	-80.145883	929.7497	-80.355462	946.5166	124.00
17	4	27	-80.145883	929.7497	-80.355462	946.5166	124.00
18	2	28	-82.827838	908.1071	-82.890917	912.8300	149.00
18	3	28	-83.099160	928.5967	-83.309222	944.7771	148.00
18	4	28	-83.098676	928.5597	-83.308254	944.7019	148.00
19	2	27	-80.173632	931.9525	-80.410317	950.9549	121.00
19	3	27	-80.145883	929.7497	-80.355462	946.5166	121.00
19	4	27	-80.145883	929.7497	-80.355462	946.5166	121.00
20	2	31	-91.686215	907.0262	-91.749294	911.2859	157.00
20	3	31	-91.957537	925.4909	-92.167599	940.0444	156.00
20	4	31	-91.957053	925.4577	-92.166632	939.9768	156.00
21	2	29	-86.071585	928.9358	-86.300861	946.0014	132.00
21	3	29	-86.051468	927.4532	-86.261047	943.0156	132.00
21	4	29	-86.051468	927.4532	-86.261047	943.0156	132.00
22	2	26	-77.210790	932.4934	-77.437654	951.4179	130.00
22	3	26	-77.193091	931.0329	-77.402670	948.4747	130.00
22	4	26	-77.193091	931.0329	-77.402670	948.4747	130.00
23	2	27	-80.176932	932.2148	-80.416747	951.4764	136.00
23	3	27	-80.145883	929.7497	-80.355462	946.5166	136.00
23	4	27	-80.145883	929.7497	-80.355462	946.5166	136.00
24	2	24	-71.312433	936.1628	-71.546458	957.4199	126.00
24	3	24	-71.287506	933.9266	-71.497085	952.8953	126.00
